Date,Name,Year,Letterboxd URI
2019-10-02,Chinatown,1974,https://boxd.it/29vU
2019-10-02,Citizen Kane,1941,https://boxd.it/71O
2019-10-02,Die Hard,1988,https://boxd.it/2a7u
2019-10-02,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY
2019-10-02,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G
2019-10-02,Enter the Dragon,1973,https://boxd.it/1YCA
2019-10-02,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2019-10-02,The Evil Dead,1981,https://boxd.it/29Go
2019-10-02,Fantasia,1940,https://boxd.it/29HG
2019-10-02,Fargo,1996,https://boxd.it/2aHM
2019-10-02,Get Out,2017,https://boxd.it/eOCm
2019-10-02,The Great Dictator,1940,https://boxd.it/29ic
2019-10-02,In the Mood for Love,2000,https://boxd.it/29tE
2019-10-02,Jaws,1975,https://boxd.it/2a5e
2019-10-02,Jurassic Park,1993,https://boxd.it/2aA2
2019-10-02,Lawrence of Arabia,1962,https://boxd.it/2wRE
2019-10-02,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O
2019-10-02,Metropolis,1927,https://boxd.it/71a
2019-10-02,Monty Python and the Holy Grail,1975,https://boxd.it/29GI
2019-10-02,Moonlight,2016,https://boxd.it/d6bE
2019-10-02,The Princess Bride,1987,https://boxd.it/26EY
2019-10-02,Raiders of the Lost Ark,1981,https://boxd.it/2bbs
2019-10-02,Scream,1996,https://boxd.it/24EC
2019-10-02,The Silence of the Lambs,1991,https://boxd.it/2aHW
2019-10-02,Snow White and the Seven Dwarfs,1937,https://boxd.it/2arO
2019-10-02,Star Wars,1977,https://boxd.it/72s
2019-10-02,Sunset Boulevard,1950,https://boxd.it/2a20
2019-10-02,Taxi Driver,1976,https://boxd.it/2b8y
2019-10-02,The Thing,1982,https://boxd.it/294O
2019-10-02,Toy Story,1995,https://boxd.it/29qA
2019-10-02,Unforgiven,1992,https://boxd.it/6Z4
2019-10-02,Vertigo,1958,https://boxd.it/2apI
2019-10-02,Videodrome,1983,https://boxd.it/29uC
2019-10-02,The Wizard of Oz,1939,https://boxd.it/29Xu
2019-10-02,Victoria,2015,https://boxd.it/amSe
2019-10-02,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/237s
2019-10-02,Under the Skin,2013,https://boxd.it/3mDa
2019-10-02,Lost in Translation,2003,https://boxd.it/2b0E
2019-10-02,Enter the Void,2009,https://boxd.it/1dy2
2019-10-02,Lady Bird,2017,https://boxd.it/dGNE
2019-10-02,The Neon Demon,2016,https://boxd.it/9AnW
2019-10-02,Love,2015,https://boxd.it/9brE
2019-10-02,Call Me by Your Name,2017,https://boxd.it/dYmm
2019-10-02,Only God Forgives,2013,https://boxd.it/2HBs
2019-10-02,Requiem for a Dream,2000,https://boxd.it/29VI
2019-10-02,American Honey,2016,https://boxd.it/bk7C
2019-10-02,Good Time,2017,https://boxd.it/fcFu
2019-10-02,Arrival,2016,https://boxd.it/aNGk
2019-10-02,Ex Machina,2015,https://boxd.it/7T2k
2019-10-02,La Haine,1995,https://boxd.it/2as8
2019-10-02,Mommy,2014,https://boxd.it/7Uau
2019-10-02,You Were Never Really Here,2017,https://boxd.it/dWOS
2019-10-02,Blade Runner 2049,2017,https://boxd.it/b8wK
